BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Vignesh Puthur,true,Indian,MI,Mumbai Indians,2,203,2,17,2024-100mb00000003566-b0cbccf8abdb11,36,53,13,36.11,23,13.25,9.00,9.00,64.15,6.00,8.83,6.0,15,2,0,1,5,0,0,0,0,4,32,3,32,3,32/3,32/3,0,0,0,0,0,22266
Harshal Patel,true,Indian,SRH,Sunrisers Hyderabad,4,203,4,20,2019-100mb00000000114-8c98068c449611,78,122,22,28.20,65,30.50,19.50,19.50,57.37,5.20,9.38,13.0,39,2,0,10,5,9,0,2,0,4,34,2,34,2,34/2,34/2,0,0,0,0,0,157
Deepak Chahar,true,Indian,MI,Mumbai Indians,3,203,3,17,2019-100mb00000000091-8640595343ec11,48,76,20,41.66,31,19.00,12.00,12.00,65.78,4.36,9.50,8.0,14,2,0,8,3,3,0,0,0,4,19,2,19,2,19/2,19/2,0,0,0,0,0,140
Zeeshan Ansari,true,Indian,SRH,Sunrisers Hyderabad,2,203,2,20,2024-100mb00000003575-83bb5544abdf11,42,67,11,26.19,31,16.75,10.50,10.50,62.68,4.66,9.57,7.0,19,3,0,6,3,0,0,0,0,4,42,3,42,3,42/3,42/3,0,0,0,0,0,22007
Andre Russell,true,Overseas,KKR,Kolkata Knight Riders,4,203,2,16,2019-100mb00000000141-e67c41d144a711,27,56,7,25.92,22,14.00,6.75,6.75,75.00,3.37,12.44,4.3,12,0,0,3,5,1,1,0,0,4,21,2,21,2,21/2,21/2,0,0,0,0,0,177
Hardik Pandya,true,Indian,MI,Mumbai Indians,2,203,2,17,2018-100mb00000000054-e3ebefa2050a11,36,39,14,38.88,25,13.00,12.00,12.00,35.89,12.00,6.50,6.0,16,3,0,2,1,3,0,0,0,3,29,2,29,2,29/2,29/2,0,0,0,0,0,2740
Yash Dayal,true,Indian,RCB,Royal Challengers Bengaluru,3,203,3,19,2022-100mb00000000978-bc824605a44611,54,63,20,37.03,34,21.00,18.00,18.00,60.31,6.00,7.00,9.0,25,0,0,8,1,0,0,0,0,3,18,2,18,2,18/2,18/2,0,0,0,0,0,20591
Prasidh Krishna,true,Indian,GT,Gujarat Titans,3,203,3,35,2019-100mb00000000150-3a51ee2844a911,66,85,33,50.00,33,28.33,22.00,22.00,70.58,5.07,7.72,11.0,15,5,0,9,4,0,0,0,1,3,18,2,18,2,18/2,18/2,0,0,0,0,0,5105
Harshit Rana,true,Indian,KKR,Kolkata Knight Riders,4,203,4,16,2022-100mb00000001013-30676520bcc011,72,111,29,40.27,46,37.00,24.00,24.00,64.86,4.50,9.25,12.0,20,8,0,12,4,2,1,0,0,3,36,2,36,2,36/2,36/2,0,0,0,0,0,20626
Krunal Pandya,false,Indian,RCB,Royal Challengers Bengaluru,3,203,3,19,2018-100mb00000000017-5e389774e99c11,54,89,15,27.77,40,29.66,18.00,18.00,65.16,4.50,9.88,9.0,24,3,0,7,5,1,0,0,1,3,29,3,29,3,29/3,29/3,0,0,0,0,0,3183
Ravichandran Ashwin,true,Indian,CSK,Chennai Super Kings,3,203,3,13,2018-100mb00000000045-f658f1b6f88a11,60,99,15,25.00,47,33.00,20.00,20.00,64.64,4.28,9.90,10.0,29,2,0,10,4,2,0,0,0,3,22,1,22,1,22/1,22/1,0,0,0,0,0,8
