StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Simarjeet Singh,622,2,0000-00-00,true,Indian,203,2021-100mb00000000622-e0d6c0e8ef8711,20,SRH,Sunrisers Hyderabad,203,20,2021-100mb00000000622-e0d6c0e8ef8711,1,0,3,4,1,75.00,25.00,4.00,0.00,0.00,1.00,3,3,0,0,0,0,0,1,3.00,0,0,0,3*,-,0,0,10789
Maheesh Theekshana,629,3,0000-00-00,true,Overseas,203,2021-100mb00000000629-11c540100bd311,18,RR,Rajasthan Royals,203,18,2021-100mb00000000629-11c540100bd311,2,0,3,5,2,60.00,40.00,2.50,0.00,0.00,1.00,3,3,0,0,0,0,0,2,1.50,0,0,0,2*,-,0,0,20570
Spencer Johnson,2518,3,0000-00-00,false,Overseas,203,2023-100mb00000002518-9a5f0c5357b311,16,KKR,Kolkata Knight Riders,203,16,2023-100mb00000002518-9a5f0c5357b311,2,0,2,4,2,50.00,50.00,2.00,0.00,0.00,1.00,2,2,0,0,0,0,0,2,1.00,0,0,0,1*,-,1,0,20699
Mohammad Shami,47,3,0000-00-00,true,Indian,203,2018-100mb00000000047-1bfc8ff2f88b11,20,SRH,Sunrisers Hyderabad,203,20,2018-100mb00000000047-1bfc8ff2f88b11,2,0,2,4,2,50.00,50.00,2.00,0.00,0.00,1.00,2,2,0,0,0,0,1,1,2.00,0,0,0,1*,2.00,1,0,94
Mitchell Starc,31,2,0000-00-00,false,Overseas,203,2018-100mb00000000031-b334eaf6f08611,14,DC,Delhi Capitals,203,14,2018-100mb00000000031-b334eaf6f08611,1,0,2,5,3,40.00,60.00,1.66,0.00,0.00,1.00,2,2,0,0,0,0,1,0,NA,0,0,0,2,2.00,1,0,490
V Satyanarayana Penmetsa,3568,2,0000-00-00,true,Indian,203,2024-100mb00000003568-0e9ff925abdc11,17,MI,Mumbai Indians,203,17,2024-100mb00000003568-0e9ff925abdc11,1,0,1,1,0,100.00,0.00,0.00,0.00,0.00,1.00,1,1,0,0,0,0,0,1,1.00,0,0,0,1*,-,1,0,22161
Kumar Kartikeya Singh,1015,1,0000-00-00,true,Indian,203,2022-100mb00000001015-396b0615c6d411,18,RR,Rajasthan Royals,203,18,2022-100mb00000001015-396b0615c6d411,1,0,1,1,0,100.00,0.00,0.00,0.00,0.00,1.00,1,1,0,0,0,0,1,0,NA,0,0,0,1,1.00,0,0,20629
Sai Kishore,544,2,0000-00-00,false,Indian,203,2020-100mb00000000544-980117aa639c11,35,GT,Gujarat Titans,203,35,2020-100mb00000000544-980117aa639c11,1,0,1,1,0,100.00,0.00,0.00,0.00,0.00,1.00,1,1,0,0,0,0,1,0,NA,0,0,0,1,1.00,0,0,7123
Mohd Arshad Khan,988,1,0000-00-00,false,Indian,203,2022-100mb00000000988-ad5c752aa44a11,35,GT,Gujarat Titans,203,35,2022-100mb00000000988-ad5c752aa44a11,1,0,1,1,0,100.00,0.00,0.00,0.00,0.00,1.00,1,1,0,0,0,0,0,1,1.00,0,0,0,1*,-,3,0,20599
Mohit Sharma,100,2,0000-00-00,true,Indian,203,2019-100mb00000000100-f196053e43f611,14,DC,Delhi Capitals,203,14,2019-100mb00000000100-f196053e43f611,1,0,1,2,1,50.00,50.00,2.00,0.00,0.00,1.00,1,1,0,0,0,0,0,1,1.00,0,0,0,1*,-,0,0,1107
Trent Boult,66,3,0000-00-00,true,Overseas,203,2019-100mb00000000066-573f78a31e3711,17,MI,Mumbai Indians,203,17,2019-100mb00000000066-573f78a31e3711,1,0,1,2,1,50.00,50.00,2.00,0.00,0.00,1.00,1,1,0,0,0,0,1,0,NA,0,0,0,1,1.00,0,0,969
